friends,number_reviews,photos,area_AL,elite_user,y
61,55,112,0,1,0.137585421
0,4,12,0,0,0.137585421
3,32,77,0,0,0.137585421
126,2,0,0,0,-0.544965831
58,4,3,1,0,-0.772482916
286,276,804,1,1,-0.089931663
7,34,50,1,0,0.137585421
0,15,0,0,0,0.137585421
21,83,95,1,0,0.137585421
1,10,4,0,0,0.137585421
122,84,99,0,1,0.137585421
0,16,7,0,0,0.137585421
1,12,6,0,0,0.137585421
104,2,3,0,0,0.137585421
0,5,4,0,0,-0.089931663
0,2,6,0,0,0.137585421
618,1037,2550,1,1,-0.089931663
171,2,0,1,0,0.137585421
22,203,530,0,1,-0.089931663
454,3,0,1,0,0.137585421
348,1,0,1,0,0.137585421
0,3,0,0,0,-0.089931663
1,20,19,0,0,0.137585421
0,7,6,0,0,0.137585421
113,300,83,0,1,0.137585421
54,42,53,1,1,0.137585421
4,17,11,0,0,0.137585421
1,31,70,0,0,-0.089931663
43,17,46,0,0,0.137585421
8,5,1,0,0,0.137585421
5,9,5,0,0,0.137585421
115,227,563,0,1,0.137585421
6,85,43,0,1,0.137585421
21,88,640,0,1,-0.089931663
491,4,2,1,0,0.137585421
0,12,7,0,0,0.137585421
0,4,16,0,0,0.137585421
0,21,0,0,0,-0.772482916
0,32,10,0,0,0.137585421
3,10,20,0,0,0.137585421
6,11,7,0,0,0.137585421
435,56,2,0,0,-0.317448747
422,639,379,0,1,-0.317448747
27,147,233,0,1,0.137585421
47,19,31,1,0,-0.089931663
63,15,0,0,0,-0.089931663
540,1011,1167,0,1,0.137585421
104,10,0,1,0,0.137585421
400,60,168,0,0,0.137585421
65,9,0,0,0,0.137585421
0,1,0,0,0,0.137585421
48,5,3,0,0,0.137585421
821,282,641,0,1,0.137585421
64,24,3,0,0,0.137585421
266,7,1,0,0,0.137585421
0,8,0,0,0,0.137585421
41,10,0,0,0,0.137585421
1,8,20,1,0,0.137585421
364,8,4,0,0,0.137585421
220,63,150,0,0,0.137585421
125,223,628,1,0,0.137585421
0,3,0,0,0,-0.772482916
0,14,15,0,0,0.137585421
223,427,2281,0,1,-0.317448747
70,439,454,0,1,0.137585421
550,279,389,0,1,-0.089931663
0,6,3,0,0,0.137585421
0,13,15,1,0,0.137585421
0,3,8,0,0,0.137585421
0,5,4,0,0,0.137585421
179,24,125,1,0,0.137585421
10,31,11,0,0,-0.317448747
57,17,9,0,0,0.137585421
0,4,0,0,0,0.137585421
322,361,1580,0,1,0.137585421
2,15,0,0,0,0.137585421
98,41,39,0,0,0.137585421
0,2,6,0,0,0.137585421
555,33,16,0,0,0.137585421
241,1208,3573,0,1,0.137585421
5,11,3,0,0,0.137585421
41,33,9,0,0,0.137585421
135,5,5,0,0,-0.089931663
285,75,73,0,0,0.137585421
0,5,1,0,0,-0.089931663
6,39,70,0,0,0.137585421
2,39,59,0,0,0.137585421
0,5,6,0,0,0.137585421
3,21,0,0,0,0.137585421
37,20,68,1,0,-0.317448747
306,79,137,0,1,-0.089931663
34,14,0,1,0,0.137585421
5,46,32,0,0,0.137585421
6,11,1,0,0,0.137585421
220,3,0,1,0,0.137585421
406,209,204,1,1,0.137585421
102,7,5,0,0,0.137585421
0,3,0,0,0,-0.772482916
5,28,19,1,0,0.137585421
450,226,2613,0,1,0.137585421
677,1856,4309,0,1,0.137585421
145,9,15,0,0,-0.317448747
2,6,1,0,0,0.137585421
72,248,50,0,0,0.137585421
64,511,1396,0,1,-0.089931663
439,9,29,1,0,0.137585421
0,2,1,0,0,0.137585421
0,4,0,0,0,0.137585421
9,11,1,0,0,0.137585421
178,35,2,0,0,0.137585421
276,37,81,0,0,0.137585421
6,74,309,0,1,0.137585421
40,139,356,0,1,-0.089931663
65,3,1,1,0,0.137585421
19,363,0,0,0,-0.089931663
283,11,6,0,0,0.137585421
372,407,1694,0,1,0.137585421
1,74,211,1,0,0.137585421
5,1,0,0,0,-0.544965831
53,2,2,1,0,-0.089931663
0,5,0,1,0,0.137585421
580,25,111,0,0,0.137585421
2,4,7,0,0,0.137585421
84,27,55,0,0,0.137585421
41,26,10,1,0,0.137585421
11,25,30,1,0,0.137585421
214,10,6,0,0,-0.772482916
64,4,0,0,0,-0.317448747
212,2628,1495,0,1,0.137585421
20,56,77,1,0,0.137585421
3,20,31,0,0,0.137585421
2,1,0,0,0,-0.544965831
609,160,197,0,0,-0.317448747
25,1625,11158,0,1,-0.089931663
0,5,6,0,0,-0.089931663
210,102,120,1,1,0.137585421
76,202,186,0,1,0.137585421
185,139,226,1,1,0.137585421
251,38,0,0,0,-0.089931663
67,12,3,0,0,0.137585421
4,29,13,0,0,-0.317448747
373,205,2232,0,1,0.137585421
25,110,155,0,0,0.137585421
87,24,138,1,0,-0.089931663
0,12,23,0,0,0.137585421
1,63,12,0,0,0.137585421
339,96,380,0,0,-0.089931663
290,25,47,0,0,0.137585421
0,125,44,0,0,-0.544965831
31,47,19,0,0,0.137585421
220,192,644,0,1,-0.089931663
115,38,20,0,0,0.137585421
0,3,3,0,0,0.137585421
193,56,38,1,0,-0.089931663
179,200,1008,0,1,0.137585421
0,11,1,0,0,0.137585421
70,38,55,1,0,0.137585421
268,8,6,1,0,-0.089931663
75,31,1,1,0,-0.317448747
18,26,41,0,0,-0.089931663
0,17,4,1,0,0.137585421
5,171,121,1,1,-0.089931663
1,23,18,1,0,-0.089931663
0,14,6,0,0,0.137585421
340,6,0,0,0,-0.772482916
159,7,5,0,0,0.137585421
47,5,0,0,0,-0.544965831
64,3,0,0,0,0.137585421
374,2,2,0,0,0.137585421
1,23,2,1,0,0.137585421
174,622,74,0,1,0.137585421
58,26,14,0,0,0.137585421
141,172,227,0,1,-0.089931663
106,3,1,0,0,0.137585421
423,24,45,0,0,0.137585421
0,15,0,1,0,0.137585421
0,59,88,0,0,-0.317448747
644,372,276,0,1,-0.089931663
46,274,2065,1,1,0.137585421
629,319,748,0,1,-0.317448747
102,10,0,1,0,0.137585421
288,11,2,1,0,0.137585421
623,547,2700,1,1,-0.089931663
242,54,1,1,0,0.137585421
72,4,2,0,0,0.137585421
205,93,130,0,1,0.137585421
